date,open,high,low,close,adj_close,volume
,ASML,ASML,ASML,ASML,ASML,ASML
1995-03-15,2.4350650310516357,2.7851059436798096,2.37418794631958,2.739448070526123,1.7713481187820435,71337728
1995-03-16,3.013392925262451,3.104707956314087,2.8916399478912354,3.013392925262451,1.948483943939209,17607744
1995-03-17,3.028611898422241,3.028611898422241,2.8916399478912354,2.9068589210510254,1.8795979022979736,13216075
1995-03-20,2.8916399478912354,2.9068589210510254,2.830763101577759,2.8916399478912354,1.8697574138641357,5498827
1995-03-21,2.8916399478912354,3.0590500831604004,2.861201047897339,3.028611898422241,1.9583240747451782,6312768
1995-03-22,3.0438311100006104,3.622159004211426,3.0438311100006104,3.393872022628784,2.1945040225982666,14026731
1995-03-23,3.3634328842163086,3.4547479152679443,3.3025569915771484,3.3177759647369385,2.1452999114990234,6550955
1995-03-24,3.3482139110565186,3.3634328842163086,3.2721190452575684,3.3329949378967285,2.1551403999328613,1577781
1995-03-27,3.3177759647369385,3.378653049468994,3.2721190452575684,3.378653049468994,2.1846635341644287,1945739
1995-03-28,3.393872022628784,3.622159004211426,3.378653049468994,3.48518705368042,2.253549575805664,10769323
1995-03-29,3.53084397315979,3.6069400310516357,3.4395289421081543,3.50040602684021,2.263390302658081,3939936
1995-03-30,3.46996808052063,3.46996808052063,3.2112419605255127,3.3025569915771484,2.1354596614837646,2329301
1995-03-31,3.256899118423462,3.4243099689483643,3.2112419605255127,3.4243099689483643,2.214185953140259,3544875
1995-04-03,3.409090995788574,3.409090995788574,3.3025569915771484,3.3482139110565186,2.1649816036224365,2472213
1995-04-04,3.3329949378967285,3.3482139110565186,3.119926929473877,3.150365114212036,2.037050724029541,2035264
1995-04-05,3.150365114212036,3.150365114212036,3.0438311100006104,3.0742690563201904,1.9878466129302979,3745280
1995-04-06,3.104707956314087,3.150365114212036,3.0742690563201904,3.0742690563201904,1.9878466129302979,2031979
1995-04-07,3.0742690563201904,3.119926929473877,3.028611898422241,3.0742690563201904,1.9878466129302979,1200789
1995-04-10,3.0742690563201904,3.2873380184173584,3.028611898422241,3.2264609336853027,2.0862550735473633,2306304
1995-04-11,3.2264609336853027,3.2721190452575684,3.1960229873657227,3.2264609336853027,2.0862550735473633,1878389
1995-04-12,3.2416799068450928,3.3101658821105957,3.2416799068450928,3.2873380184173584,2.1256189346313477,3177739
1995-04-13,3.3177759647369385,3.3177759647369385,3.1960229873657227,3.2264609336853027,2.0862550735473633,602037
1995-04-17,3.1960229873657227,3.256899118423462,3.119926929473877,3.119926929473877,2.0173697471618652,770411
1995-04-18,3.119926929473877,3.165584087371826,3.028611898422241,3.0590500831604004,1.9780060052871704,1040629
1995-04-19,3.0590500831604004,3.089488983154297,3.028611898422241,3.028611898422241,1.9583240747451782,1360128
1995-04-20,3.0438311100006104,3.089488983154297,3.028611898422241,3.028611898422241,1.9583240747451782,1312491
1995-04-21,3.0742690563201904,3.089488983154297,3.0742690563201904,3.089488983154297,1.997687816619873,502656
1995-04-24,3.089488983154297,3.50040602684021,3.089488983154297,3.46996808052063,2.243708372116089,4398240
1995-04-25,3.4243099689483643,3.4547479152679443,3.3329949378967285,3.3329949378967285,2.1551403999328613,983957
1995-04-26,3.3329949378967285,3.48518705368042,3.3329949378967285,3.4547479152679443,2.2338674068450928,2085365
1995-04-27,3.4395289421081543,3.50040602684021,3.4243099689483643,3.46996808052063,2.243708372116089,1733013
1995-04-28,3.4547479152679443,3.4547479152679443,3.2873380184173584,3.3329949378967285,2.1551403999328613,817227
1995-05-01,3.3634328842163086,3.3634328842163086,3.3025569915771484,3.3177759647369385,2.1452999114990234,820512
1995-05-02,3.3634328842163086,3.3634328842163086,3.3025569915771484,3.3329949378967285,2.1551403999328613,272683
1995-05-03,3.3025569915771484,3.4395289421081543,3.3025569915771484,3.4243099689483643,2.214185953140259,1546571
1995-05-04,3.4395289421081543,3.774350881576538,3.4395289421081543,3.637377977371216,2.351957082748413,6742325
1995-05-05,3.637377977371216,3.7591309547424316,3.637377977371216,3.6830360889434814,2.3814802169799805,1885781
1995-05-08,3.6678171157836914,3.7895700931549072,3.652596950531006,3.7439119815826416,2.4208428859710693,1213109
1995-05-09,3.7439119815826416,3.7439119815826416,3.6069400310516357,3.637377977371216,2.351957082748413,2055797
1995-05-10,3.5917210578918457,3.5917210578918457,3.50040602684021,3.515625,2.2732300758361816,3379787
1995-05-11,3.54606294631958,3.54606294631958,3.4395289421081543,3.4395289421081543,2.2240264415740967,749877
1995-05-12,3.4395289421081543,3.7134740352630615,3.4395289421081543,3.637377977371216,2.351957082748413,1915349
1995-05-15,3.6830360889434814,3.774350881576538,3.652596950531006,3.7439119815826416,2.4208428859710693,1425835
